SchoolName,URL,Sector,Year_Range,Type,Address,Suburb,State,Postcode,Latitude,Longitude,Score
Frankston High School,http://www.fhs.vic.edu.au/,Government,7-12,Secondary,97 FOOT STREET,FRANKSTON,VIC,3199,-38.161072,145.129148,86
Mount Erin Secondary College,http://www.mounterin.vic.edu.au,Government,7-12,Secondary,ROBINSONS ROAD,FRANKSTON SOUTH,VIC,3199,-38.1736443,145.147332,67
Mornington Secondary College,http://www.mornsc.vic.edu.au,Government,7-12,Secondary,1051 NEPEAN HIGHWAY,MORNINGTON,VIC,3931,-38.216698,145.059015,74
McClelland College,http://www.mcclellandcollege.vic.edu.au,Government,7-12,Secondary,BELAR AVENUE,FRANKSTON,VIC,3199,-38.146944,145.158889,69
Elisabeth Murdoch College,http://www.emc.vic.edu.au,Government,7-12,Secondary,80 WARRANDYTE ROAD,LANGWARRIN,VIC,3910,-38.159927,145.192092,76
Somerville Secondary College,http://www.somervillesc.vic.edu.au,Government,7-12,Secondary,37 GRAF ROAD,SOMERVILLE,VIC,3912,-38.228731,145.169699,68
Patterson River Secondary College,http://www.prsc.vic.edu.au,Government,7-12,Secondary,70 - 98 EEL RACE ROAD,SEAFORD,VIC,3198,-38.084044,145.136018,72
Carrum Downs Secondary College,http://www.cdsc.vic.edu.au/,Government,7-12,Secondary,263 MCCORMICKS ROAD,CARRUM DOWNS,VIC,3201,-38.093491,145.19482,66
Western Port Secondary College,http://www.westernportsc.vic.edu.au/,Government,7-12,Secondary,215 HIGH STREET,HASTINGS,VIC,3915,-38.309428,145.175307,65
Mordialloc College,http://www.mcsc.vic.edu.au,Government,7-12,Secondary,1 STATION STREET,MORDIALLOC,VIC,3195,-38.011725,145.093198,82
Cranbourne Secondary College,http://www.cranbournesc.vic.edu.au,Government,7-12,Secondary,STAWELL STREET,CRANBOURNE,VIC,3977,-38.1082929,145.2858001,67
Dromana Secondary College,http://www.dsc.vic.edu.au,Government,7-12,Secondary,110 HARRISONS ROAD,DROMANA,VIC,3936,-38.342671,145.010973,73
Parkdale Secondary College,http://www.parkdalesc.vic.edu.au,Government,7-12,Secondary,WARREN ROAD,MORDIALLOC,VIC,3195,-37.9908333,145.0947222,86
Hampton Park Secondary College,http://www.hpsc.vic.edu.au,Government,7-12,Secondary,58 - 96 FORDHOLM ROAD,HAMPTON PARK,VIC,3976,-38.035871,145.25908,65
Mentone Girls Secondary College,http://www.mgsc.vic.edu.au,Government,7-12,Secondary,CNR BALCOMBE & CHARMAN RDS,MENTONE,VIC,3194,-37.9803265,145.0547739,92
Noble Park Secondary College,http://www.nobleparksc.vic.edu.au,Government,7-12,Secondary,3 CALLAGHAN STREET,NOBLE PARK,VIC,3174,-37.971019,145.184172,68
Dandenong High School,http://www.dandenonghs.vic.edu.au,Government,7-12,Secondary,92-106 PRINCES HIGHWAY,DANDENONG,VIC,3175,-37.97866,145.209462,69
Sandringham College,http://www.sandringhamsc.vic.edu.au,Government,7-12,Secondary,11 HOLLOWAY ROAD,SANDRINGHAM,VIC,3191,-37.956462,145.025272,88
Fountain Gate Secondary College,http://www.fountaingatesc.vic.edu.au/,Government,7-12,Secondary,45 JOSEPHINE AVENUE,NARRE WARREN,VIC,3805,-38.006153,145.295661,69
Kambrya College,http://www.kambryacollege.com,Government,7-12,Secondary,68 BEMERSYDE DRIVE,BERWICK,VIC,3806,-38.053468,145.346219,79
Westall Secondary College,http://www.westallsc.vic.edu.au,Government,7-12,Secondary,88-128 ROSEBANK AVENUE,CLAYTON SOUTH,VIC,3169,-37.941397,145.135978,70
Bentleigh Secondary College,http://www.bentleighsc.vic.edu.au,Government,7-12,Secondary,VIVIEN ST,BENTLEIGH EAST,VIC,3165,-37.9273354,145.0602634,90
South Oakleigh Secondary College,http://www.sosc.vic.edu.au,Government,7-12,Secondary,BAKERS ROAD,OAKLEIGH SOUTH,VIC,3167,-37.9228615,145.0907886,86
Rosebud Secondary College,http://www.rsc.vic.edu.au,Government,7-12,Secondary,245 EASTBOURNE ROAD,ROSEBUD,VIC,3939,-38.368337,144.88703,76
Berwick Secondary College,http://www.berwicksc.vic.edu.au/,Government,7-12,Secondary,MANUKA ROAD,BERWICK,VIC,3806,-38.0303399,145.3619944,78
Thornbury High School,http://www.thornburyhs.vic.edu.au,Government,7-12,Secondary,238 COLLINS STREET,THORNBURY,VIC,3071,-37.755849,145.025269,73
Bundoora Secondary College,http://www.bundoorasc.vic.edu.au,Government,7-12,Secondary,53 BALMORAL AVENUE,BUNDOORA,VIC,3083,-37.708218,145.062339,67
Reservoir High School,http://www.reservoirhs.vic.edu.au/,Government,7-12,Secondary,855 PLENTY ROAD,RESERVOIR,VIC,3073,-37.721513,145.029054,71
Mill Park Secondary College,http://www.millparksc.vic.edu.au,Government,7-12,Secondary,9 - 25 MOORHEAD DRIVE,MILL PARK,VIC,3082,-37.664742,145.061969,72
Lalor Secondary College,http://www.lalorsc.vic.edu.au/,Government,7-12,Secondary,118 DAVID STREET,LALOR,VIC,3075,-37.672054,145.029499,69
Thomastown Secondary College,http://www.thomassc.vic.edu.au,Government,7-12,Secondary,80-96 MAIN STREET,THOMASTOWN,VIC,3074,-37.677962,145.002189,65
Lalor North Secondary College,http://www.lalornthsc.vic.edu.au,Government,7-12,Secondary,114 CHILDS ROAD,EPPING,VIC,3076,-37.659779,145.034258,66
Epping Secondary College,http://www.eppingsc.vic.edu.au,Government,7-12,Secondary,MCDONALDS ROAD,EPPING,VIC,3076,-37.655706,145.022139,65
Brunswick Secondary College,http://www.brunswick.vic.edu.au,Government,7-12,Secondary,47 DAWSON STREET,BRUNSWICK,VIC,3056,-37.771552,144.955173,84
Williamstown High School,http://www.willihigh.vic.edu.au,Government,7-12,Secondary,PASCO STREET,WILLIAMSTOWN,VIC,3016,-37.862917,144.894895,90
Gilmore College For Girls,http://www.gilmoregirls.vic.edu.au,Government,7-12,Secondary,298 BARKLY STREET,FOOTSCRAY,VIC,3011,-37.798481,144.895061,71
Maribyrnong Secondary College,http://www.maribsc.vic.edu.au/,Government,7-12,Secondary,RIVER STREET,MARIBYRNONG,VIC,3032,-37.77972747,144.8882379,83
Strathmore Secondary College,http://www.strathmore.vic.edu.au,Government,7-12,Secondary,400 PASCOE VALE ROAD,STRATHMORE,VIC,3041,-37.737816,144.927911,87
Buckley Park College,http://www.buckleyparkco.vic.edu.au,Government,7-12,Secondary,COOPER STREET,ESSENDON,VIC,3040,-37.7476395,144.897224,92
Rosehill Secondary College,http://www.rosehillsc.vic.edu.au,Government,7-12,Secondary,SAPPHIRE STREET,NIDDRIE,VIC,3042,-37.7472616,144.8861914,82
Essendon East Keilor District College,,Government,7-12,Secondary,QUINN GROVE,KEILOR EAST,VIC,3033,-37.74410853,144.8682056,75
Braybrook College,http://www.braybrooksc.vic.edu.au,Government,7-12,Secondary,352 BALLARAT ROAD,BRAYBROOK,VIC,3019,-37.778109,144.848442,83
Hume Central Secondary College,,Government,7-12,Secondary,60-78 TANDERRUM WAY,BROADMEADOWS,VIC,3047,-37.680121,144.91545,63
Gladstone Park Secondary College,http://www.gladstoneparksc.vic.edu.au,Government,7-12,Secondary,14 - 36 TAYLOR DRIVE,GLADSTONE PARK,VIC,3043,-37.688497,144.890415,81
Sunshine College,http://www.sunshine.vic.edu.au,Government,7-12,Secondary,GRAHAM STREET,SUNSHINE,VIC,3020,-37.7732679,144.8403442,67
St Albans Secondary College,http://www.stalbanssc.vic.edu.au,Government,7-12,Secondary,289 MAIN ROAD EAST,ST ALBANS,VIC,3021,-37.746644,144.807685,80
Koo Wee Rup Secondary College,http://www.kwrsc.vic.edu.au,Government,7-12,Secondary,ROSSITER ROAD,KOO WEE RUP,VIC,3981,-38.1969329,145.4966312,68
Roxburgh College,http://www.roxburghcollege.vic.edu.au/,Government,7-12,Secondary,60-70 DONALD CAMERON DRIVE,ROXBURGH PARK,VIC,3064,-37.632735,144.9302,63
Craigieburn Secondary College,http://www.craigieburnsc.vic.edu.au,Government,7-12,Secondary,102 HOTHLYN DRIVE,CRAIGIEBURN,VIC,3064,-37.608715,144.9341,67
Taylors Lakes Secondary College,http://www.tlsc.vic.edu.au,Government,7-12,Secondary,1-39 PARMELIA DRIVE,TAYLORS LAKES,VIC,3038,-37.708051,144.792786,76
Copperfield College,http://www.copperfieldcollege.vic.edu.au,Government,7-12,Secondary,GOLDSMITH AVENUE,DELAHEY,VIC,3037,-37.719556,144.7722483,70
Werribee Secondary College,http://www.werribeesc.vic.edu.au,Government,7-12,Secondary,45 DUNCANS ROAD,WERRIBEE,VIC,3030,-37.906623,144.66902,88
Hoppers Crossing Secondary College,http://web.hopcross.vic.edu.au/,Government,7-12,Secondary,2 FRASER STREET,HOPPERS CROSSING,VIC,3029,-37.870336,144.696263,68
Sunbury College,http://www.sunburysc.vic.edu.au,Government,7-12,Secondary,30 RACECOURSE ROAD,SUNBURY,VIC,3429,-37.573934,144.730295,70
Sunbury Downs Secondary College,http://www.sunburydowns.vic.edu.au,Government,7-12,Secondary,MITCHELLS LANE,SUNBURY,VIC,3429,-37.5832673,144.7052344,77
Staughton College,http://www.staughtoncollege.vic.edu.au,Government,7-12,Secondary,WILSON ROAD,MELTON SOUTH,VIC,3338,-37.707384,144.5686161,66
Melton Secondary College,http://www.meltonsc.vic.edu.au,Government,7-12,Secondary,COBURNS ROAD,MELTON,VIC,3337,-37.6821647,144.5671018,67
Kurunjang Secondary College,http://www.kurunjangsc.vic.edu.au/,Government,7-12,Secondary,KURUNJANG DRIVE,MELTON,VIC,3337,-37.6726184,144.5851662,65
Suzanne Cory High School,http://suzannecoryhs.vic.edu.au/,Government,9-11,Secondary,225 HOPPERS LANE,WERRIBEE,VIC,3030,-37.893929,144.699803,100
Melbourne High School,http://www.mhs.vic.edu.au,Government,9-12,Secondary,FORREST HILL,SOUTH YARRA,VIC,3141,-37.8352543,144.9951443,100
Nossal High School,http://www.nossalhs.vic.edu.au,Government,9-12,Secondary,100 CLYDE ROAD,BERWICK,VIC,3806,-38.040924,145.33668,100
Hazel Glen College,http://www.hgc.vic.edu.au/,Government,K-12,Combined,115 Eminence Blvd,Doreen,VIC,3754,-37.597586,145.119989,70
Manor Lakes P-12 College,http://www.manorlakesp12.vic.edu.au,Government,Prep-11,Combined,2-50 MININDEE ROAD,WYNDHAM VALE,VIC,3024,-37.87436,144.603104,66
Sherbrooke Community School,http://www.sherbrooke.vic.edu.au,Government,Prep-12,Combined,311 MT DANDENONG TOURIST ROAD,SASSAFRAS,VIC,3787,-37.867846,145.349311,67
Boronia K-12 College,http://www.BoroniaK-12.vic.edu.au,Government,Prep-12,Combined,RANGEVIEW ROAD,BORONIA,VIC,3155,-37.8584728,145.2897263,69
Carwatha College P-12,http://www.carwatha.vic.edu.au,Government,Prep-12,Combined,43-81 BROWNS ROAD,NOBLE PARK,VIC,3174,-37.94141,145.189901,65
Macleod College,http://macleod.vic.edu.au/,Government,Prep-12,Combined,CARWARP STREET,MACLEOD,VIC,3085,-37.72705337,145.0720574,85
Distance Education Centre Victoria,http://www.distance.vic.edu.au,Government,Prep-12,Combined,315 CLARENDON STREET,THORNBURY,VIC,3071,-37.761853,145.025959,97
Narre Warren South P-12 College,http://www.nwsc.vic.edu.au,Government,Prep-12,Combined,AMBERLY PARK DRIVE,NARRE WARREN STH,VIC,3805,-38.0492783,145.2994121,75
Bayside P-12 College,http://www.bayside.vic.edu.au,Government,Prep-12,Combined,29-69 KOROROIT CREEK ROAD,WILLIAMSTOWN,VIC,3016,-37.8589853,144.8849328,67
Laverton P-12 College,http://www.lavertonsc.vic.edu.au,Government,Prep-12,Combined,91 BLADIN STREET,LAVERTON,VIC,3028,-37.857124,144.772763,65
The Grange P-12 College,http://www.thegrange.vic.edu.au,Government,Prep-12,Combined,30 DELORAINE DRIVE,HOPPERS CROSSING,VIC,3029,-37.857926,144.675482,64
Glenroy Private,,Independent,Prep-4,Primary,163-165 GLENROY ROAD,GLENROY,VIC,3046,-37.705745,144.921576,63
Lilydale Primary School,http://www.lilydaleps.vic.edu.au,Government,Prep-6,Primary,63 CASTELLA STREET,LILYDALE,VIC,3140,-37.753537,145.353884,74
Birmingham Primary School,http://www.birminghamps.vic.edu.au,Government,Prep-6,Primary,43-49 FRANCIS CRESCENT,MOUNT EVELYN,VIC,3796,-37.778837,145.369539,89
Lilydale West Primary School,http://www.lilydalewest.vic.edu.au,Government,Prep-6,Primary,BOWEN ROAD,LILYDALE,VIC,3140,-37.7557129,145.3367615,76
Wandin North Primary School,http://www.wandinnorthps.vic.edu.au/,Government,Prep-6,Primary,220 WARBURTON HIGHWAY,WANDIN NORTH,VIC,3139,-37.76966,145.409202,79
Rolling Hills Primary School,http://www.rollinghillsps.vic.edu.au,Government,Prep-6,Primary,52 LANDSCAPE DRIVE,MOOROOLBARK,VIC,3138,-37.766601,145.326888,83
Mooroolbark East Primary School,http://www.meps.vic.edu.au,Government,Prep-6,Primary,TAYLOR ROAD,MOOROOLBARK,VIC,3138,-37.786287,145.3352622,67
Bimbadeen Heights Primary School,http://www.bimbadeenheightsps.vic.edu.au,Government,Prep-6,Primary,HAYRICK LANE,MOOROOLBARK,VIC,3138,-37.773971,145.321867,80
Chirnside Park Primary School,http://www.chirnsideparkps.vic.edu.au/,Government,Prep-6,Primary,66 KIMBERLEY DRIVE,CHIRNSIDE PARK,VIC,3116,-37.750044,145.312835,83
Pembroke Primary School,http://www.pemprim.vic.edu.au,Government,Prep-6,Primary,PEMBROKE ROAD,MOOROOLBARK,VIC,3138,-37.7953824,145.3277437,65
Manchester Primary School,http://www.manchesterps.vic.edu.au,Government,Prep-6,Primary,MONOMEITH STREET,MOOROOLBARK,VIC,3138,-37.7802223,145.3122325,73
Montrose Primary School,http://www.montroseps.vic.edu.au,Government,Prep-6,Primary,LEITH ROAD,MONTROSE,VIC,3765,-37.8079126,145.3443308,82
Wandin Yallock Primary School,http://www.wandinyallockps.vic.edu.au,Government,Prep-6,Primary,105 BEENAK ROAD,WANDIN NORTH,VIC,3139,-37.789739,145.436267,77
Kilsyth Primary School,http://www.kilsythps.vic.edu.au/,Government,Prep-6,Primary,DURHAM ROAD,KILSYTH,VIC,3137,-37.8019217,145.3150302,79
Gladesville Primary School,http://www.gladesvilleps.vic.edu.au,Government,Prep-6,Primary,GLADESVILLE DRIVE,KILSYTH,VIC,3137,-37.811674,145.3237098,85
Ruskin Park Primary School,http://www.ruskinparkps.vic.edu.au,Government,Prep-6,Primary,18 - 20 RUSKIN AVE,CROYDON,VIC,3136,-37.798506,145.297312,72
Seville Primary School,http://www.sevilleps.vic.edu.au,Government,Prep-6,Primary,639 WARBURTON HIGHWAY,SEVILLE,VIC,3139,-37.772523,145.464512,84
Billanook Primary School,http://www.billanookps.vic.edu.au/,Government,Prep-6,Primary,270 SHEFFIELD ROAD,MONTROSE,VIC,3765,-37.825608,145.338248,80
Yarra Road Primary School,http://www.yarrardps.vic.edu.au,Government,Prep-6,Primary,222 - 228 YARRA ROAD,CROYDON,VIC,3136,-37.766584,145.273703,82
Wonga Park Primary School,http://www.wongapark.vic.edu.au,Government,Prep-6,Primary,DUDLEY ROAD,WONGA PARK,VIC,3115,-37.73058,145.273476,89
Croydon Primary School,http://www.croydonps.vic.edu.au,Government,Prep-6,Primary,CNR KENT AVENUE & CROYDON ROAD,CROYDON,VIC,3136,-37.7930498,145.2801722,65
Croydon Hills Primary School,http://www.croydonhps.vic.edu.au,Government,Prep-6,Primary,CAMPASPE DRIVE,CROYDON HILLS,VIC,3136,-37.7763429,145.271539,83
Dorset Primary School,http://www.dorsetps.vic.edu.au/,Government,Prep-6,Primary,RESCORLA AVENUE,CROYDON,VIC,3136,-37.81005145,145.2859984,81
Ainslie Parklands Primary School,http://ainslieparklandsps.vic.edu.au/,Government,Prep-6,Primary,HINKLEY AVE,CROYDON,VIC,3136,-37.7941046,145.2637334,77
Bayswater North Primary School,http://www.bayswaternorth.vic.edu.au/,Government,Prep-6,Primary,STUART STREET,BAYSWATER NORTH,VIC,3153,-37.8287568,145.2958287,85
Kalinda Primary School,http://www.kalinda.vic.edu.au,Government,Prep-6,Primary,39-49 KALINDA ROAD,RINGWOOD,VIC,3134,-37.790009,145.253729,86
Warranwood Primary School,http://www.warranwood.vic.edu.au,Government,Prep-6,Primary,1 WELLINGTON PARK DRIVE,WARRANWOOD,VIC,3134,-37.774938,145.247271,87
Tinternvale Primary School,http://www.tinternvaleps.vic.edu.au,Government,Prep-6,Primary,TINTERN AVENUE,RINGWOOD EAST,VIC,3135,-37.8185628,145.2654367,83
Sassafras Primary School,http://www.sassafrasps.vic.edu.au,Government,Prep-6,Primary,399 MT DANDENONG TOURIST ROAD,SASSAFRAS,VIC,3787,-37.860945,145.354266,91
The Basin Primary School,http://www.thebasinps.vic.edu.au/,Government,Prep-6,Primary,CNR LIVERPOOL ROAD & MOUNTAIN HIGHWAY,THE BASIN,VIC,3154,-37.8499813,145.3082698,89
Boronia Heights Primary School,http://www.boroniahtsps.vic.edu.au,Government,Prep-6,Primary,LANDSCAPE DRIVE,BORONIA,VIC,3155,-37.8453039,145.2960939,82
Eastwood Primary School,http://www.eastwood.vic.edu.au,Government,Prep-6,Primary,ALEXANDRA ROAD,RINGWOOD EAST,VIC,3135,-37.816819,145.2527252,79
Mullum Primary School,http://www.mullumps.vic.edu.au,Government,Prep-6,Primary,18 PANFIELD AVENUE,RINGWOOD,VIC,3134,-37.797784,145.2394,97
Ringwood North Primary School,http://www.ringwoodnorthps.vic.edu.au/,Government,Prep-6,Primary,172 OBAN ROAD,RINGWOOD NORTH,VIC,3134,-37.792224,145.230511,90
Heathmont East Primary School,http://www.heathmonteastps.vic.edu.au/,Government,Prep-6,Primary,LOUIS STREET,HEATHMONT,VIC,3135,-37.830451,145.2570717,98
Warrandyte Primary School,http://www.warrandyteps.vic.edu.au,Government,Prep-6,Primary,5-11 FORBES STREET,WARRANDYTE,VIC,3113,-37.742398,145.214727,90
Great Ryrie Primary School,http://www.greatryrieps.vic.edu.au,Government,Prep-6,Primary,GREAT RYRIE STREET,HEATHMONT,VIC,3135,-37.8240609,145.2385122,80
Park Orchards Primary School,http://www.pops.vic.edu.au,Government,Prep-6,Primary,1-3 BOWMORE AVENUE,PARK ORCHARDS,VIC,3114,-37.779913,145.215216,90
Bayswater Primary School,http://www.bayswaterps.vic.edu.au,Government,Prep-6,Primary,BIRCH STREET,BAYSWATER,VIC,3153,-37.8447002,145.2591397,86
Boronia West Primary School,http://www.boroniawestps.vic.edu.au,Government,Prep-6,Primary,25 TORMORE ROAD,BORONIA,VIC,3155,-37.85837,145.277733,67
Woori Yallock Primary School,http://www.woorips.vic.edu.au,Government,Prep-6,Primary,1360 HEALESVILLE ROAD,WOORI YALLOCK,VIC,3139,-37.776485,145.532009,75
Andersons Creek Primary School,http://www.andersonscreekps.vic.edu.au/,Government,Prep-6,Primary,36-42 DRYSDALE ROAD,WARRANDYTE,VIC,3113,-37.749192,145.20791,89
